Date, Time,Chamber air temperature (°C),Chamber pressure(mBar), Soil temperature (°C), Chamber relative humidity (%),Soil moisture (%), Chamber Status
03-January-2021,12:30:5,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:6,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:7,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:8,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:9,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:10,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:11,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:12,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:14,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:15,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:15,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:16,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:17,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:19,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:20,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:22,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:32,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:32,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:34,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:35,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:36,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:38,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:39,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:40,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:41,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:42,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:43,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:44,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:44,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:46,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:47,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:52,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:53,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:54,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:55,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:56,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:57,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:58,5.0,104.5,10.0,98,50,Close
03-January-2021,12:30:59,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:0,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:1,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:2,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:3,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:4,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:5,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:6,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:7,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:8,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:9,5.0,104.5,10.0,98,50,Close
