Date(DD-MM-YY), Time(24-hour clock),Chamber air temperature (°C),Chamber pressure(mBar), Soil temperature (°C), Chamber relative humidity (%),Soil moisture (%), Chamber Status(Open/Closed)
05-January-2021,13:17:26,6.699999999999999,108.5,12.399999999999999,91,73,Close
05-January-2021,13:17:27,8.299999999999997,103.6,11.399999999999999,76,77,Close
05-January-2021,13:17:28,8.299999999999997,103.6,11.399999999999999,76,77,Close
05-January-2021,13:17:29,7.799999999999997,109.6,10.700000000000003,62,71,Close
05-January-2021,13:17:30,7.799999999999997,109.6,10.700000000000003,62,71,Close
05-January-2021,13:17:31,8.100000000000001,106.8,12.399999999999999,65,70,Close
05-January-2021,13:17:32,8.100000000000001,106.8,12.399999999999999,65,70,Close
05-January-2021,13:17:33,14.200000000000003,109.9,13.0,84,72,Close
05-January-2021,13:17:34,13.899999999999999,109.6,12.700000000000003,98,70,Close
05-January-2021,13:17:35,13.899999999999999,109.6,12.700000000000003,98,70,Close
05-January-2021,13:17:36,10.899999999999999,101.8,12.100000000000001,82,75,Close
05-January-2021,13:17:37,10.899999999999999,101.8,12.100000000000001,82,75,Close
05-January-2021,13:17:38,14.700000000000003,101.8,13.700000000000003,94,78,Close
05-January-2021,13:17:39,14.700000000000003,101.8,13.700000000000003,94,78,Close
